"","X","Y","ele","time","magvar","geoidheight","name","cmt","desc","src","link1_href","link1_text","link1_type","link2_href","link2_text","link2_type","sym","type","fix","sat","hdop","vdop","pdop","ageofdgpsdata","dgpsid","DistNeigh"
"102",-59.551763,-1.598062,48.51896,"10/10/2022 15:02",NA,NA,"A019A1","DEITADA","DEITADA",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,9.24524988369423
"103",-59.551318,-1.598143,48.07992,"10/10/2022 15:08",NA,NA,"A019A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,25.4765188974353
"104",-59.550882,-1.598049,48.8253,"10/10/2022 15:11",NA,NA,"A019A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,58.3596322602402
"105",-59.550416,-1.598137,48.27254,"10/10/2022 15:20",NA,NA,"A019A4","DEITADA","DEITADA",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,87.9715883066659
"106",-59.549959,-1.598168,47.82981,"10/10/2022 15:23",NA,NA,"A019A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,129.880268840111
"107",-59.549491,-1.598233,47.96467,"10/10/2022 15:30",NA,NA,"A019A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,176.797140104278
"108",-59.756882,-1.546579,53.35945,"01/09/2022 18:46",NA,NA,"A020A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,505.523226239158
"109",-59.757518,-1.546455,54.32467,"01/09/2022 18:50",NA,NA,"A020A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,576.588726159035
"110",-59.757826,-1.54665,53.81432,"01/09/2022 18:54",NA,NA,"A020A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,606.794310947537
"111",-59.758286,-1.546727,53.43652,"01/09/2022 18:57",NA,NA,"A020A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,653.698066028998
"112",-59.758838,-1.546782,54.12438,"01/09/2022 19:01",NA,NA,"A020A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,711.827499102729
"113",-59.759281,-1.546843,55.55776,"01/09/2022 19:05",NA,NA,"A020A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,758.505869028199
"114",-59.419686,-1.582366,60.74745,"10/10/2022 19:15",NA,NA,"A021A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,86.6451086720222
"115",-59.419234,-1.582378,60.15704,"10/10/2022 19:19",NA,NA,"A021A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,70.0241356959569
"116",-59.418791,-1.582473,60.26195,"10/10/2022 19:22",NA,NA,"A021A3","NOT","NOT",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,62.921208593947
"117",-59.418346,-1.58254,59.75979,"10/10/2022 19:23",NA,NA,"A021A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,82.507211865939
"118",-59.417901,-1.582429,58.94189,"10/10/2022 19:26",NA,NA,"A021A5","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,94.1769648100589
"119",-59.417434,-1.58245,58.48789,"10/10/2022 19:27",NA,NA,"A021A6","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,75.6879707590645
"120",-59.5805,-1.747582,52.10525,"04/10/2022 15:31",NA,NA,"A022A1","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,2116.68859667399
"121",-59.580455,-1.747123,52.51206,"04/10/2022 15:33",NA,NA,"A022A2","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,2108.24777306044
"122",-59.580472,-1.746717,52.83935,"04/10/2022 15:39",NA,NA,"A022A3","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,2108.1016762073
"123",-59.580517,-1.746276,53.4949,"04/10/2022 15:41",NA,NA,"A022A4","","",NA,NA,NA,NA,NA,NA,NA,"Flag, Blue",NA,NA,NA,NA,NA,NA,NA,NA,2092.25454803767
